"gpa","study_hours"
4,10
3.8,25
3.93,45
3.4,10
3.2,4
3.52,10
3.68,24
3.4,40
3.7,10
3.75,10
3.3,30
3.425,7
3.795,15
3.83,60
3.3,10
3.75,10
3.15,6
3.7,20
3.8,8
3.63,30
3.9,35
3.294,12
3.7,6
3.4,20
4,10
3.4,14
3.7,10
3.8,10
3.4,30
3.4,20
3.4,7
3,20
3.6,16
3.567,14
3.3,21
3.4,21
3.6,11
3.67,10
3.82,10
2.9,15
3.9,10
3.4,10
3.6,20
3.1,10
3.4,10
3.8,12
3.7,25
3.7,20
3.8,25
3.92,15
3.8,10
3.868,40
3.35,15
3.85,10
3.55,10
3.7,25
3.65,25
3.125,36
4,30
3.25,14
3.86,2
3.5,10
3.45,5
3.6,4
3.866,20
3.82,12
3.2,15
3.5,3
3.8,10
3.8,15
3.7,25
3.75,15
3.3,10
3.875,15
3.7,7
3.5,14
3.2,7
3.566,40
3.5,6
4.3,10
3.6,10
3.2,20
3.825,20
3.85,69
3.75,8
4,10
3.4,3
3.9,8
3.825,15
3.7,45
3.8,10
2.91,18
3.559,10
3.69,10
3.3,35
3.75,10
3.9,8
3.65,15
3.5,30
3.6,35
3.675,20
3.9,12
3.6,35
3.675,8
3.7,30
3.66,10
3.733,14
3.7,28
2.6,7
4,20
3.2,15
3.16,24
3.5,20
3.65,20
3.9,20
3.785,25
3.1,15
3.15,16
3.61,10
3.3,35
3.7,15
3.7,20
3.75,40
3.4,4
3.6,12
3.5,49
3.8,20
3.7,30
3.84,12
3.41,8
3.825,60
2.95,6.5
3.925,20
3.3,18
3.3,10
3.6,40
4,21
3.3,12.5
3.89,12
3.2,20
3.97,10
3.3,10
3.86,20
3.76,20
3.5,10
3.6,30
3.55,15
3.97,20
3.925,15
3.68,14
3.25,5
3.56,5
2.85,8
3.6,8
3.45,14
3.5,15
3.15,20
3.35,14
3.5,14
3.79,25
3.022,30
3.46,20
3.55,30
3.97,20
3.925,7
3.2,8
3.4,20
3.9,14
3.6,20
3.83,60
3.8,15
4,20
3.5,15
3.3,8
4,15
3.1,10
3.5,7
3.62,20
3.6,10
3.8,28
3.2,12
3.925,5
3.84,30
3.1,5
4,6
3.35,30
3.925,15
3,9
3.6,24
3.7,12
3.84,15
3.8,10
3.1,15
